2019.01.21-12:42:09 <192.168.250.51>: <27>Jan 21 12:43:33 kmd[1256]: IKE Phase-1 Failure: Invalid exchange type for the first packet [spi=3ffed128, src_ip=176.215.198.1, dst_ip=83.149.239.125]
2019.01.21-12:42:09 <192.168.250.51>: <27>Jan 21 12:43:33 kmd[1256]: IKE Phase-1 Failure: Main mode - no proposal chosen [spi=3ffed090, src_ip=176.215.198.1, dst_ip=83.149.239.125]
2019.01.21-12:42:10 <192.168.250.51>: <27>Jan 21 12:43:35 kmd[1256]: IKE Phase-1 Failure: Invalid exchange type for the first packet [spi=3ffed128, src_ip=176.215.198.1, dst_ip=83.149.239.125]
2019.01.21-12:42:21 <192.168.250.51>: <27>Jan 21 12:43:42 kmd[1256]: IKE Phase-1 Failure: Invalid exchange type for the first packet [spi=3ffed128, src_ip=176.215.198.1, dst_ip=83.149.239.125]
2019.01.21-12:45:26 <192.168.250.51>: <27>Jan 21 12:46:50 kmd[1256]: IKE Phase-1 Failure: Invalid exchange type for the first packet [spi=3ffed128, src_ip=176.215.198.1, dst_ip=83.149.239.125]
2019.01.21-12:45:26 <192.168.250.51>: <27>Jan 21 12:46:50 kmd[1256]: IKE Phase-1 Failure: Main mode - no proposal chosen [spi=3ffed090, src_ip=176.215.198.1, dst_ip=83.149.239.125]
2019.01.21-12:45:27 <192.168.250.51>: <27>Jan 21 12:46:52 kmd[1256]: IKE Phase-1 Failure: Invalid exchange type for the first packet [spi=3ffed128, src_ip=176.215.198.1, dst_ip=83.149.239.125]
2019.01.21-12:45:52 <192.168.250.51>: <27>Jan 21 12:47:00 kmd[1256]: IKE Phase-1 Failure: Invalid exchange type for the first packet [spi=3ffed128, src_ip=176.215.198.1, dst_ip=83.149.239.125]
2019.01.21-12:49:38 <192.168.250.51>: <27>Jan 21 12:51:03 kmd[1256]: IKE Phase-1 Failure: Main mode - no proposal chosen [spi=3ffed090, src_ip=176.215.198.1, dst_ip=83.149.239.125]
2019.01.21-12:49:38 <192.168.250.51>: <27>Jan 21 12:51:03 kmd[1256]: IKE Phase-1 Failure: Invalid exchange type for the first packet [spi=3ffed128, src_ip=176.215.198.1, dst_ip=83.149.239.125]
2019.01.21-13:16:12 <192.168.250.51>: <27>Jan 21 13:17:36 kmd[1256]: IKE Phase-2 Failure: IKE Phase-2 negotiation retry limit reached [spi=3ffed228, src_ip=176.215.198.1, dst_ip=109.195.209.171]
2019.01.21-14:06:03 <192.168.250.51>: <27>Jan 21 14:07:28 kmd[1256]: IKE Phase-2 Failure: IKE Phase-2 negotiation retry limit reached [spi=3ffed228, src_ip=176.215.198.1, dst_ip=109.195.209.171]
2019.01.21-14:50:38 <192.168.250.51>: <27>Jan 21 14:52:02 kmd[1256]: IKE Phase-1 Failure: Invalid exchange type for the first packet [spi=3ffed128, src_ip=176.215.198.1, dst_ip=188.0.169.233]
2019.01.21-14:55:22 <192.168.250.51>: <27>Jan 21 14:56:46 kmd[1256]: IKE Phase-2 Failure: IKE Phase-2 negotiation retry limit reached [spi=3ffed228, src_ip=176.215.198.1, dst_ip=109.195.209.171]
2019.01.21-14:56:30 <192.168.250.51>: <27>Jan 21 14:57:54 kmd[1256]: IKE Phase-1 Failure: Invalid exchange type for the first packet [spi=3ffed128, src_ip=176.215.198.1, dst_ip=188.0.169.233]
2019.01.21-15:38:40 <192.168.250.51>: <27>Jan 21 15:40:04 kmd[1256]: IKE Phase-1 Failure: Invalid exchange type for the first packet [spi=3ffed128, src_ip=176.215.198.1, dst_ip=95.30.31.224]
2019.01.21-15:44:39 <192.168.250.51>: <27>Jan 21 15:46:04 kmd[1256]: IKE Phase-2 Failure: IKE Phase-2 negotiation retry limit reached [spi=3ffed228, src_ip=176.215.198.1, dst_ip=109.195.209.171]
2019.01.21-16:23:51 <192.168.250.51>: <27>Jan 21 16:25:15 kmd[1256]: IKE Phase-1 Failure: Invalid exchange type for the first packet [spi=3ffed128, src_ip=176.215.198.1, dst_ip=212.247.224.78]
2019.01.21-16:25:59 <192.168.250.51>: <27>Jan 21 16:25:23 kmd[1256]: IKE Phase-1 Failure: Invalid exchange type for the first packet [spi=3ffed128, src_ip=176.215.198.1, dst_ip=212.247.224.78]
2019.01.21-16:34:10 <192.168.250.51>: <27>Jan 21 16:35:34 kmd[1256]: IKE Phase-2 Failure: IKE Phase-2 negotiation retry limit reached [spi=3ffed228, src_ip=176.215.198.1, dst_ip=109.195.209.171]
2019.01.21-17:22:47 <192.168.250.51>: <27>Jan 21 17:24:11 kmd[1256]: IKE Phase-1 Failure: Invalid exchange type for the first packet [spi=3ffed128, src_ip=46.61.169.58, dst_ip=203.91.118.180]
2019.01.21-17:22:47 <192.168.250.51>: <27>Jan 21 17:24:11 kmd[1256]: IKE Phase-1 Failure: Main mode - no proposal chosen [spi=3ffed090, src_ip=46.61.169.58, dst_ip=203.91.118.180]
2019.01.21-17:22:49 <192.168.250.51>: <27>Jan 21 17:24:13 kmd[1256]: IKE Phase-1 Failure: Invalid exchange type for the first packet [spi=3ffed128, src_ip=46.61.169.58, dst_ip=203.91.118.180]
2019.01.21-17:24:01 <192.168.250.51>: <27>Jan 21 17:25:26 kmd[1256]: IKE Phase-2 Failure: IKE Phase-2 negotiation retry limit reached [spi=3ffed228, src_ip=176.215.198.1, dst_ip=109.195.209.171]
2019.01.21-18:13:30 <192.168.250.51>: <27>Jan 21 18:14:54 kmd[1256]: IKE Phase-2 Failure: IKE Phase-2 negotiation retry limit reached [spi=3ffed228, src_ip=176.215.198.1, dst_ip=109.195.209.171]
2019.01.21-19:03:22 <192.168.250.51>: <27>Jan 21 19:04:47 kmd[1256]: IKE Phase-2 Failure: IKE Phase-2 negotiation retry limit reached [spi=3ffed228, src_ip=176.215.198.1, dst_ip=109.195.209.171]
2019.01.21-19:52:45 <192.168.250.51>: <27>Jan 21 19:54:09 kmd[1256]: IKE Phase-2 Failure: IKE Phase-2 negotiation retry limit reached [spi=3ffed228, src_ip=176.215.198.1, dst_ip=109.195.209.171]
2019.01.21-20:42:11 <192.168.250.51>: <27>Jan 21 20:43:35 kmd[1256]: IKE Phase-2 Failure: IKE Phase-2 negotiation retry limit reached [spi=3ffed228, src_ip=176.215.198.1, dst_ip=109.195.209.171]
2019.01.21-21:31:39 <192.168.250.51>: <27>Jan 21 21:33:03 kmd[1256]: IKE Phase-2 Failure: IKE Phase-2 negotiation retry limit reached [spi=3ffed228, src_ip=176.215.198.1, dst_ip=109.195.209.171]
2019.01.21-22:20:57 <192.168.250.51>: <27>Jan 21 22:22:22 kmd[1256]: IKE Phase-2 Failure: IKE Phase-2 negotiation retry limit reached [spi=3ffed228, src_ip=176.215.198.1, dst_ip=109.195.209.171]
2019.01.21-23:10:24 <192.168.250.51>: <27>Jan 21 23:11:48 kmd[1256]: IKE Phase-2 Failure: IKE Phase-2 negotiation retry limit reached [spi=3ffed228, src_ip=176.215.198.1, dst_ip=109.195.209.171]
2019.01.22-00:00:03 <192.168.250.51>: <27>Jan 22 00:01:28 kmd[1256]: IKE Phase-2 Failure: IKE Phase-2 negotiation retry limit reached [spi=3ffed228, src_ip=176.215.198.1, dst_ip=109.195.209.171]
2019.01.22-00:49:57 <192.168.250.51>: <27>Jan 22 00:51:21 kmd[1256]: IKE Phase-2 Failure: IKE Phase-2 negotiation retry limit reached [spi=3ffed228, src_ip=176.215.198.1, dst_ip=109.195.209.171]
2019.01.22-01:39:36 <192.168.250.51>: <27>Jan 22 01:41:01 kmd[1256]: IKE Phase-2 Failure: IKE Phase-2 negotiation retry limit reached [spi=3ffed228, src_ip=176.215.198.1, dst_ip=109.195.209.171]
